trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.8, 'e': 0.2018965179946554}",25,15,19.710465827953357,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.8, 'e': 0.19789869908361468}",25,0,-28.39709321414926,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.8, 'e': 0.19398004229089189}",20,14,-23.398200546184956,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
83,False,"{'a': 0.8, 'e': 0.19013898010152053}",20,13,0.6169172407676293,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.8, 'e': 0.18637397603941}",25,11,22.0949663476357,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.8, 'e': 0.18268352405273466}",20,0,-73.22825476546168,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
86,False,"{'a': 0.8, 'e': 0.17906614791149325}",25,9,2.989106928163414,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.8, 'e': 0.1755204006169969}",25,9,-56.80396498932214,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
88,False,"{'a': 0.8, 'e': 0.17204486382305054}",25,3,-55.47447452628739,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
89,False,"{'a': 0.8, 'e': 0.16863814726859552}",20,0,5.797671253767204,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.8, 'e': 0.16529888822158656}",20,0,22.437284443198372,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.8, 'e': 0.16202575093388077}",25,0,8.660004805052294,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.8, 'e': 0.1588174261069207}",20,1,-109.4367842238926,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 3}",1
93,False,"{'a': 0.8, 'e': 0.1556726303679973}",30,8,-18.494804434705873,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
94,False,"{'a': 0.8, 'e': 0.15259010575688386}",20,0,-29.3603963428938,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
95,False,"{'a': 0.8, 'e': 0.14956861922263506}",20,0,33.43068951767656,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.8, 'e': 0.14660696213035015}",20,6,-19.573278387443942,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.8, 'e': 0.14370394977770296}",20,6,23.206027662689316,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.8, 'e': 0.140858420921045}",20,11,20.549716421618808,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.8, 'e': 0.13806923731089282}",20,11,1.8532341814210247,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.8, 'e': 0.1353352832366127}",25,13,23.763192671155057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.8, 'e': 0.13265546508012174}",20,6,0.7749405806950311,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
102,False,"{'a': 0.8, 'e': 0.13002871087842593}",20,13,10.50317025059476,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.8, 'e': 0.12745396989482075}",20,9,8.8456596192581,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.8, 'e': 0.12493021219858243}",20,1,25.432590058213865,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.8, 'e': 0.12245642825298192}",20,0,-36.609013789832915,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
106,False,"{'a': 0.8, 'e': 0.12003162851145674}",20,8,-2.351884530225714,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.8, 'e': 0.1176548430217792}",20,0,24.067395875006984,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.8, 'e': 0.11532512103806253}",30,0,16.75652576005683,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
109,False,"{'a': 0.8, 'e': 0.11304153064044986}",20,0,-4.584766063495582,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
110,False,"{'a': 0.8, 'e': 0.11080315836233387}",20,0,25.909613411378594,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.8, 'e': 0.10860910882495797}",25,11,-42.50547630452612,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
112,False,"{'a': 0.8, 'e': 0.10645850437925282}",30,13,-17.177925108944457,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.8, 'e': 0.10435048475476501}",25,15,-22.74508291085709,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.8, 'e': 0.10228420671553745}",20,14,-9.569836729709543,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.8, 'e': 0.10025884372280372}",20,10,18.170165349077223,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.8, 'e': 0.09827358560436156}",20,5,-17.51643067887232,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.8, 'e': 0.09632763823049305}",20,8,16.649331177281372,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.8, 'e': 0.09442022319630236}",25,10,21.743364893135432,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.8, 'e': 0.09255057751034329}",20,8,20.924825685697066,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.8, 'e': 0.09071795328941253}",20,12,-50.82822796336834,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
121,False,"{'a': 0.8, 'e': 0.08892161745938636}",25,7,5.680687951529999,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.8, 'e': 0.08716085146198131}",25,16,-4.1708743765507235,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
123,False,"{'a': 0.8, 'e': 0.08543495096732125}",20,6,1.9167723942900827,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.8, 'e': 0.08374322559219598}",25,17,0.26539281171115614,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.8, 'e': 0.08208499862389881}",30,13,-0.6170667148583027,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
126,False,"{'a': 0.8, 'e': 0.08045960674953244}",20,0,10.835020617808762,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.8, 'e': 0.07886639979067496}",25,14,9.932672022680398,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.8, 'e': 0.07730474044329975}",20,6,20.169449286829632,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8, 'e': 0.07577400402284548}",35,19,29.35187743347553,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.8, 'e': 0.07427357821433388}",20,16,5.821755138116895,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.8, 'e': 0.0728028628274356}",20,0,23.859504539181167,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.8, 'e': 0.07136126955638607}",20,3,-12.849419207494552,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
133,False,"{'a': 0.8, 'e': 0.06994822174465537}",25,19,4.832423369637699,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.8, 'e': 0.06856315415427792}",25,2,-18.325731452653205,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.8, 'e': 0.06720551273974976}",20,3,15.45718042517712,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.8, 'e': 0.06587475442640296}",20,9,21.55561748706873,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.8, 'e': 0.06457034689316848}",20,3,19.266456527134764,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.8, 'e': 0.06329176835964072}",20,0,-72.28555947772723,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
139,False,"{'a': 0.8, 'e': 0.062038507377358304}",20,5,24.80505945012325,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 0.06081006262521796}",25,0,24.846604728026584,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.8, 'e': 0.059605942708939375}",25,16,11.571739448797366,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.8, 'e': 0.058425665964500835}",30,15,-14.221381798221962,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.8, 'e': 0.057268760265467365}",30,20,18.40822915682607,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.8, 'e': 0.05613476283413373}",20,9,19.914600219878174,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8, 'e': 0.055023220056407245}",20,11,14.863832664358398,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.8, 'e': 0.053933687300356026}",20,12,13.17765995112468,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.8, 'e': 0.052865728738350375}",20,16,7.962602630677948,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.8, 'e': 0.05181891717272585}",20,2,29.867541025289952,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.8, 'e': 0.05079283386489851}",20,3,-11.744329724495906,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.8, 'e': 0.04978706836786395}",20,0,26.189820380424468,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.8, 'e': 0.04880121836201297}",25,15,20.684166282506364,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.8, 'e': 0.047834889494198375}",25,19,9.98269316882318,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.8, 'e': 0.04688769521998849}",20,10,17.830042849568706,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.8, 'e': 0.04595925664904421}",20,4,13.495706054502568,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.8, 'e': 0.04504920239355781}",20,13,11.135411359584367,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.8, 'e': 0.04415716841969287}",25,7,29.638707540128223,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.8, 'e': 0.0432827979019659}",20,3,12.653657631789665,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.8, 'e': 0.04242574108051139}",25,13,19.447169305690554,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 0.04158565512117317}",20,6,16.15354898483205,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.8, 'e': 0.04076220397836621}",25,17,16.863965778089447,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.8, 'e': 0.0399550582606539}",30,7,27.656204211605466,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.8, 'e': 0.03916389509898707}",30,16,13.877396468671867,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.8, 'e': 0.03838839801755206}",20,8,22.316614308838897,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
